"lb"	"mappings"
Mentha pulegium	Squaw Balm
Mentha pulegium	Squawmint Tickweed
Mentha spicata	Curled mint
Mentha spicata	Mentha spicata
Mentha spicata	Spearmint
Mimosa pudica	Han xiu cao
Mimosa pudica	Mimosa pudica
Mimosa pudica	Sensitive-plant
Mimosa pudica	Touch-me-not
Mitchella repens	Mitchella repens
Mitchella repens	Partridge-berry
Mitchella repens	Squawvine
Mitragyna speciosa	Kratom
Mitragyna speciosa	Kratum
Mitragyna speciosa	Mitragyna speciosa
Momordica charantia	Balsam-apple
Momordica charantia	Balsam-pear
Momordica charantia	Bitter-cucumber
Momordica charantia	Bitter gourd
Momordica charantia	Bitter melon
Momordica charantia	Carilla gourd
Momordica charantia	Momordica charantia
Morella cerifera	Bayberry
Morella cerifera	Candleberry
Morella cerifera	Morella cerifera
Morella cerifera	Southern bayberry
Morella cerifera	Southern wax-myrtle
Morella cerifera	Waxberry
Morella cerifera	Wax-myrtle
Morinda citrifolia	Indian-mulberry
Morinda citrifolia	Morinda citrifolia
Morinda citrifolia	Noni
Morinda citrifolia	Rotten cheesefruit
Moringa oleifera	Ben-oil-tree
Moringa oleifera	Benzolive-tree
