"pt"	"lb"	"mappings"
Pi ba	Eriobotrya japonica	Bibasse | Eriobotrya japonica | Japanese-medlar | Loquat | Lukwart | Nispero | Pi ba
piprage	Berberis vulgaris	Berberis vulgaris | Common barberry | European barberry | Jaundice-berry | piprage
Piptoporusbetulinus	Piptoporus betulinus	Piptoporus betulinus | Piptoporusbetulinus
Pitch pine	Pinus palustris	Longleaf pine | Pinus palustris | Pitch pine
Plantain	Plantago major	Broadleaf plantain | Common plantain | Greater plantain | Plantago major | Plantain
Poison-ash	Chionanthus virginicus	Chionanthus virginicus | Fringetree | Old-man's-beard | Poison-ash
PoisonBerry	Solanum anguivi	PoisonBerry | Solanum anguivi
Prince's-pine	Chimaphila umbellata	Bitter wintergreen | Chimaphila umbellata | Ground ivy | Pipsissewa | Pipsissiwa | Prince's-pine
Purplegranadilla	Passiflora edulis	Passiflora edulis | Purplegranadilla
Qiang huo	Notopterygium incisum	Notopterygium | Notopterygium incisum | Qiang huo
Quassia wood	Quassia amara	Quassia | Quassia amara | Quassia wood
Radicchio	Cichorium intybus	Belgium endive | Chicory | Cichorium intybus | Radicchio
Red-berry juniper	Juniperus oxycedrus	Cade juniper | Juniperus oxycedrus | Prickly juniper | Red-berry juniper
Red yeast rice	Oryza sativa	Oryza sativa | Red yeast rice
Reishi	Ganoderma lucidum	Ganoderma | Ganoderma lucidum | Ling zhi | Reishi
Rendongteng	Lonicera japonica	Japanese honeysuckle | Jin yin hua | Lonicera japonica | Ren dong | Rendongteng
Rhodiola	Rhodiola rosea	Hong jing tian | King's-crown | Rhodiola | Rhodiola rosea | Roseroot
Rocou	Bixa orellana	Annatto | Arnatto | Bixa orellana | Lipsticktree | Rocou
Rooisede	Juniperus virginiana	Eastern red-cedar | Juniperus virginiana | Pencil-cedar | Potloodseder | Red-cedar | Red juniper | Rooisede
Rose laurel	Nerium oleander	Nerium oleander | Oleander | Rose laurel
Rosemary	Rosmarinus officinalis	Rosemary | Rosmarinus officinalis
Rotahorn	Acer rubrum	Acer rubrum | Red maple | Rotahorn
Rotten cheesefruit	Morinda citrifolia	Indian-mulberry | Morinda citrifolia | Noni | Rotten cheesefruit
Rue	Ruta graveolens	Rue | Ruta graveolens
Sage	Salvia officinalis	Common sage | Dalmatian sage | Garden sage | Sage | Salvia officinalis
Sargassumpallidum	Sargassum pallidum	Sargassum pallidum | Sargassumpallidum
Scots heather	Calluna vulgaris	Calluna vulgaris | Common heather | Heather | Ling | Red-heath | Scotch heather | Scots heather
Scots pine	Pinus nigra	Baltic redwood | Pinus nigra | Pinus sylvestris | Scotch pine | Scots pine
Scots pine	Pinus sylvestris	Baltic redwood | Pinus nigra | Pinus sylvestris | Scotch pine | Scots pine
Scrub-palmetto	Serenoa repens	Sabal | Saw palmetto | Saw-palmetto | Scrub-palmetto | Serenoa repens
Sea-fennel	Crithmum maritimum	Crithmum maritimum | Rock samphire | Sea-fennel
Seawrack	Fucus vesiculosus	Black tang | Bladder fucus | Fucus vesiculosus | Kelpware | Seawrack
Seed- rape	Brassica oleracea	Brassica oleracea | Colza | Rape | Rape seed | Seed- rape
Senna	Senna alexandrina	Senna | Senna alexandrina
Shallot	Allium cepa	Allium cepa | Onion | Shallot
Shan zhu yu	Cornus officinalis	Asiatic cornelian cherry | Asiatic dogwood | Cornus officinalis | Shan zhu yu
Shatavari	Asparagus racemosus	Asparagus racemosus | Shatamuli | Shatavari
Shepherd's-purse	Capsella bursa	Capsella bursa | Shepherd's-purse
Shi luo	Anethum graveolens	Anethum graveolens | Dill | Garden dill | Shi luo
Shinyblueberry	Vaccinium myrsinites	Shinyblueberry | Vaccinium myrsinites
Shirley poppy	Papaver rhoeas	Corn poppy | Field poppy | Flanders poppy | Papaver rhoeas | Shirley poppy
Shrub-trefoil	Ptelea trifoliata	Hoptree | Ptelea trifoliata | Shrub-trefoil
Siberian ginseng	Eleutherococcus senticosus	Ci wu jia | Eleuthero | Eleutherococcus senticosus | Siberian ginseng
Sicklepod senna	Senna obtusifolia	Java-bean | Senna obtusifolia | Sicklepod | Sicklepod senna
Siler	Saposhnikovia divaricata	Fang feng | Saposhnikovia divaricata | Siler
Silktree albizia	Albizia julibrissin	Albizia julibrissin | Happiness Tree | He huan | Mimosa | Silktree | Silktree albizia
Silver fir	Abies alba	Abies alba | European silver fir | Silver fir
Slippery elm	Ulmus rubra	Red elm | Slippery elm | Ulmus rubra
Slippery-root	Symphytum officinale	Boneset | Comfrey | Common comfrey | Consound | Healing-herb | Knitbone | Slippery-root | Symphytum officinale
Small centaury	Centaurium erythraea	Centaurium erythraea | Centaury | Common centaury | European centaury | Small centaury
Soapwort	Saponaria officinalis	Bouncing-bet | Saponaria officinalis | Soapwort
Soft rush	Juncus effusus	Common rush | Deng xin cao | Juncus effusus | Soft rush
Southern magnolia	Magnolia grandiflora	Bull bay | Laurier tulipier | Magnolia grandiflora | Southern magnolia
Sow thistle	Emilia sonchifolia	Cupid's shaving-brush | Emilia | Emilia sonchifolia | Sow thistle
Soybean	Glycine max	Black soya bean | Da dou | Glycine max | Soy | Soya | Soyabean | Soybean
Spanishmoss	Tillandsia usneoides	Spanishmoss | Tillandsia usneoides
Spanish-needles	Bidens pilosa	Bidens pilosa | Hairy beggar-ticks | Spanish-needles
Spearmint	Mentha spicata	Curled mint | Mentha spicata | Spearmint
Spiny Amaranth	Amaranthus spinosus	Amaranthus spinosus | Prickly Amaranth | Spiny Amaranth
Spreading pellitory	Parietaria judaica	Parietaria judaica | Pellitory-of-the-wall | Spreading pellitory
Spring restharrow	Ononis spinosa	Ononis | Ononis spinosa | Restharrow | Spiny restharrow | Spring restharrow
Squawmint Tickweed	Mentha pulegium	European pennyroyal | Lurk-in-the-Ditch | Mentha pulegium | Mosquito plant | Pennyroyal | Pudding Grass | Pulegium | Run-by-the-Ground | Squaw Balm | Squawmint Tickweed
Squawroot	Caulophyllum thalictroides	Blue cohosh | Caulophyllum | Caulophyllum thalictroides | Papooseroott | Squawroot
Squawvine	Mitchella repens	Mitchella repens | Partridge-berry | Squawvine
Stevia	Stevia rebaudiana	Stevia | Stevia rebaudiana
Stinging nettle	Urtica dioica	Common nettle | European nettle | Greater nettle | Nettle | Stinging nettle | Urtica dioica | Yi zhu qian ma
Stinkingweed	Senna occidentalis	Antbush | Coffee senna | Negro-coffee | Senna occidentalis | Stinkingweed
St. John's-bread	Ceratonia siliqua	Bread- St John's | Carob | Ceratonia | Ceratonia siliqua | Locust-bean | St John's bread | St. John's-bread
St. John's-wort	Hypericum perforatum	Hypericum | Hypericum perforatum | St. John's wort | St. John's-wort
Suan cheng	Citrus aurantium	Bitter orange | Citrus aurantium | Seville orange | Suan cheng
Sugarmaple	Acer floridanum	Acer floridanum | Sugarmaple
Swallowwort	Chelidonium majus	Celandine | Chelidonium majus | Great celandine | Greater celandine | Nipplewort | Swallowwort
Sweetbay	Magnolia virginiana	Magnolia virginiana | Sweetbay
Sweet chestnut	Castanea sativa	Castanea sativa | European chestnut | Sweet chestnut
Sweet Elder	Sambucus canadensis	American elder | Canadian elder | Sambucus canadensis | Sambucus nigra | Sweet Elder
Sweet Elder	Sambucus nigra	American elder | Canadian elder | Sambucus canadensis | Sambucus nigra | Sweet Elder
Sweet-gum	Liquidambar styraciflua	Alligatorwood | American-storax | Liquidambar styraciflua | Red-gum | Satin-walnut | Sweet-gum
Sweet joe-pye-weed	Eupatorium purpureum	Eupatorium purpureum | Gravelroot | Green-stem joe-pye-weed | Joe-pye | Joe-pye-weed | Marsh-milkweed | Queen-of-the-meadow | Sweet joe-pye-weed
Sweet marjoram	Origanum majorana	Marjoram | Origanum majorana | Sweet marjoram
Sweetroot	Acorus calamus	Acorus calamus | Calamus | Flagroot | Myrtle-flag | Sweet calamus | Sweet-flag | Sweetroot
Sweetwaterlily	Nymphaea odorata	Nymphaea odorata | Sweetwaterlily
Sweet wormwood	Artemisia annua	Artemisia annua | Huang hua hao | Sweet Annie | Sweet wormwood
Swiss mountain pine	Pinus mugo	Dwarf pine | Mountain pine | Mountain pine- Swiss | Mugo pine | Pine- pumilio | Pine- Swiss mountain | Pinus mugo | Pumilio pine | Scrub mountain pine | Swiss mountain pine
Syrian oregano	Origanum syriacum	Biblical hyssop | Lebanese oregano | Origanum syriacum | Syrian oregano
Szechwan chinaberry	Melia azedarach	Chinaberry | Lian | Melia azedarach | Persian lilac | Sichuan pagoda-tree | Szechwan chinaberry
Talewort	Borago officinalis	Beebread | Beeplant | Borage | Borago officinalis | Star-flower | Talewort
Tall mallow	Malva sylvestris	Blue mallow | Cheeses | Common mallow | High mallow | Malva sylvestris | Tall mallow
Tamarind	Tamarindus indica	Indian tamarind | Kilytree | Tamarin | Tamarind | Tamarindus indica
Tangerine	Citrus reticulata	Citrus reticulata | Ju | Mandarin orange | Tangerine
Tang-kuei	Angelica sinensis	Angelica sinensis | Chinese Angelica | Dang quai | Dang qui | Dong gui | Dong quai | Tang-kuei
Tanner's sumac	Rhus coriaria	Rhus coriaria | Sicilian sumac | Tanner's sumac
Tansy	Tanacetum vulgare	Golden-buttons | Tanacetum vulgare | Tansy
Tao	Prunus persica	Momo | Peach | Prunus persica | Tao
Tetterwort	Sanguinaria canadensis	Bloodroot | Bloodwort | Canadian bloodroot | Red puccoon | Redroot | Sanguinaria canadensis | Tetterwort
Thyme	Thymus vulgaris	Common thyme | Conehead thyme | English thyme | French thyme | Garden thyme | Thyme | Thymus vulgaris
Toothed medic	Medicago polymorpha	Bur medic | California bur-clover | Hairy medic | Medicago polymorpha | Toothed bur-clover | Toothed medic
Touch-me-not	Mimosa pudica	Han xiu cao | Mimosa pudica | Sensitive-plant | Touch-me-not
Tree-turmeric	Berberis aristata	Berberis aristata | Indian barberry | Tree-turmeric
Tribulus	Tribulus terrestris	Caltrop | Cat's-head | Common dubbletjie | Devil's-thorn | Devil's-weed | Goathead | Gokshura | Goksura | Ji li | Puncturevine | Puncturevine caltrop | Tribulus | Tribulus terrestris
Tulsi	Ocimum tenuiflorum	Holy basil | Ocimum tenuiflorum | Rama tulsi | Sacred basil | Tulsi
Turmeric	Curcuma longa	Common turmeric | Curcuma | Curcuma longa | Indian-saffron | Jianghuang | Turmeric | Yellow ginger
Tyfon	Brassica rapa	Brassica rapa | Rapini | Seven-top turnip | Turnip | Tyfon
Uva ursi	Arctostaphylos uva	Arctostaphylos uva | Bearberry | Kinnikinnick | Uva ursi
Valencia orange	Citrus sinensis	Blood orange | Citrus sinensis | Navel orange | Red orange | Sweet orange | Tian cheng | Valencia orange
Valerian	Valeriana officinalis	Common valerian | Garden-heliotrope | Garden valerian | Valerian | Valeriana officinalis
Velvet-dock	Inula helenium	Aaron's-rod | Common mullein | Elecampane | Flannelleaf | Flannelplant | Great mullein | Hag taper | Inula helenium | Mullein | Torches | Tu mu xiang | Velvet-dock | Verbascum thapsus
Velvet-dock	Verbascum thapsus	Aaron's-rod | Common mullein | Elecampane | Flannelleaf | Flannelplant | Great mullein | Hag taper | Inula helenium | Mullein | Torches | Tu mu xiang | Velvet-dock | Verbascum thapsus
Villous amomum	Amomum villosum	Amomum villosum | Sha ren | Sharen | Villous amomum
Virginian skullcap	Scutellaria lateriflora	Helmet flower | Hoodwort | Mad-dog scullcap | Quarter bonnet | Scullcap | Scutellaria lateriflora | Skullcap | Virginian skullcap
Virginia poke	Phytolacca americana	Chui xu shang lu | Phytolacca americana | Pigeonberry | Poke | Pokeberry | Pokeroot | Pokeweed | Virginia poke
Vitex	Vitex agnus	Chasteberry | Chastetree | Vitex | Vitex agnus
