"name"	"common_name"
AESCULUS PROCERA WHOLE	""
AESCULUS PROCERA	""
AESCULUS MEMMINGERI WHOLE	""
AESCULUS ASPLENIFOLIA WHOLE	""
HIPPOCASTANUM VULGARE WHOLE	""
PAWIA HIPPOCASTANUM WHOLE	""
HORSE CHESTNUT WHOLE	""
AESCULUS ASPLENIFOLIA	""
AESCULUS CASTANEA	""
AESCULUS VERSICOLOR WHOLE	""
PAVIA LIVIDA WHOLE	""
AESCULUS MOLLIS WHOLE	""
PAVIA WILLDENOWIANA WHOLE	""
AESCULUS AUSTRINA WHOLE	""
PAVIA OCTANDRIA WHOLE	""
FIRECRACKER PLANT WHOLE	""
AESCULUS SPLENDENS WHOLE	""
AESCULUS RUBRA WHOLE	""
AESCULUS RUBESCENS WHOLE	""
PAVIA NANA WHOLE	""
PAVIA LINDLEYANA WHOLE	""
PAVIA MICHAUXII WHOLE	""
AESCULUS DISCOLOR WHOLE	""
RED BUCKEYE WHOLE	""
PAVIA AMERICANA WHOLE	""
PAVIA LUCIDA WHOLE	""
AESCULUS LYONII WHOLE	""
PAVIA MACROCARPA WHOLE	""
AESCULUS HUMILIS WHOLE	""
AESCULUS PUBESCENS WHOLE	""
PAVIA ATROPURPUREA WHOLE	""
PAVIA RUBRA WHOLE	""
PAVIA MOLLIS WHOLE	""
PAVIA WHITLEYI WHOLE	""
PAVIA HUMILIS WHOLE	""
PAVIANA COCCINEA WHOLE	""
AESCULUS PAVIA L.	""
AESCULUS WHITLEYI WHOLE	""
AESCULUS PAVIA WHOLE	""
PAVIA PAVIA WHOLE	""
AMOMUM ERYTHROCARPUM WHOLE	""
CARDAMOMUM CLUSII WHOLE	""
CARDAMOMUM MELEGUETA WHOLE	""
LONGOZA PLANT WHOLE	""
AFRAMOMUM ANGUSTIFOLIUM WHOLE	""
AFRAMOMUM HANBURYI WHOLE	""
AFRAMOMUM BAUMANNII WHOLE	""
AMOMUM SANSIBARICUM WHOLE	""
AMOMUM CLUSII WHOLE	""
AMOMUM DANIELII WHOLE	""
AMOMUM SANGUINEUM WHOLE	""
AFRAMOMUM MELEGUETELLA WHOLE	""
AFRAMOMUM MELEGUETA WHOLE	""
AMOMUM GRANA-PARADISI WHOLE	""
ALPINIA GRANA-PARADISI WHOLE	""
ALEXIS GRANDIFLORA WHOLE	""
AFRAMOMUM MELEGUETA [WHO-DD]	""
CARDAMOMUM GRANDIFLORUM WHOLE	""
CARDAMOMUM GRANA-PARADISI WHOLE	""
AMOMUM GRANDIFLORUM WHOLE	""
GRAINS-OF-PARADISE [HOC]	""
AFRAMOMUM MELEGUETA K.SCHUM.	""
AFRAMOMUM GRANA-PARADISI WHOLE	""
MELEGUETA PEPPER WHOLE	""
CALCEOLARIA ENNEASPERMA WHOLE	""
IONIDIUM HEXASPERMUM WHOLE	""
HYBANTHUS SUFFRUTICOSUS WHOLE	""
HYBANTHUS HETEROPHYLLUS WHOLE	""
ALSODEIA SOCOTRANA WHOLE	""
IONIDIUM HIRTUM WHOLE	""
SOLEA MONTANA WHOLE	""
IONIDIUM FRUTESCENS WHOLE	""
VIOLA SUFFRUTICOSA WHOLE	""
HYBANTHUS THESIIFOLIUS WHOLE	""
IONIDIUM DAHOMENSIS WHOLE	""
HYBANTHUS LINIFOLIUS WHOLE	""
VIOLA ERECTA WHOLE	""
IONIDIUM BANKSIANUM WHOLE	""
HYBANTHUS MOLLIS WHOLE	""
SOLEA HETEROPHYLLA WHOLE	""
HYBANTHUS ZIPPELII WHOLE	""
VIOLA ENNEASPERMA WHOLE	""
CALCEOLARIA THYMIFOLIA WHOLE	""
IONIDIUM MOLLE WHOLE	""
IONIDIUM AETHIOPICUM WHOLE	""
IONIDIUM ENNEASPERMUM WHOLE	""
HYBANTHUS MINIATUS WHOLE	""
VIOLA LINIFOLIA WHOLE	""
IONIDIUM HETEROPHYLLUM WHOLE	""
IONIDIUM ERECTUM WHOLE	""
AFROHYBANTHUS ENNEASPERMUS (L.) FLICKER	""
HYBANTHUS NYASSENSIS WHOLE	""
HYBANTHUS ENNEASPERMUS WHOLE	""
POLYGALA FRUTESCENS WHOLE	""
VIOLA GUINEENSIS WHOLE	""
IONIDIUM SUBGLAUCUM WHOLE	""
IONIDIUM LINIFOLIUM WHOLE	""
SOLEA ENNEASPERMA WHOLE	""
IONIDIUM RHABDOSPERMUM WHOLE	""
PIGEA BANKSIANA WHOLE	""
VIOLA HETEROPHYLLA WHOLE	""
IONIDIUM LEPTORHIZUM WHOLE	""
AFROHYBANTHUS ENNEASPERMUS WHOLE	""
IONIDIUM INDICUM WHOLE	""
IONIDIUM THYMIFOLIUM WHOLE	""
VIOLA THESIIFOLIA WHOLE	""
IONIDIUM THESIIFOLIUM WHOLE	""
IONIDIUM ZIPPELII WHOLE	""
VIOLA LANCEIFOLIA WHOLE	""
HYBANTHUS THYMIFOLIUS WHOLE	""
HYBANTHUS HIRTUS WHOLE	""
SOLEA LINIFOLIA WHOLE	""
SOLEA ERECTA WHOLE	""
HYBANTHUS HILDEBRANDTII WHOLE	""
IONIDIUM WIGHTIANA WHOLE	""
LICANIA ELAEOSPERMA WHOLE	""
AFROLICANIA ELAEOSPERMA MILDBR.	""
AFROLICANIA ELAEOSPERMA WHOLE	""
BAROSMA BETULINA WHOLE	""
AGATHOSMA BETULINA WHOLE	""
BAROSMA ORBICULARIS WHOLE	""
AGATHOSMA BETULINA [WHO-DD]	""
AGATHOSMA BETULINA (P.J.BERGIUS) PILLANS	""
BUCHU WHOLE	""
BUCHU (AGATHOSMA BETULINA) [HOC]	""
