"concept_id","np_name"
-7991586,BETA CICLA WHOLE
-7993923,CAT'S-CLAW
-7992108,COMMON RUSH WHOLE
-7997565,COLA VERA WHOLE
-7997477,ARDISIA LINANGENSIS WHOLE
-7997127,ATRACTYLODES JAPONICA WHOLE PLANT
-7998954,OCIMUM MONACHORUM WHOLE
-7998419,HORSETAIL
-7991461,BLACK TEA WHOLE
-7993748,CASSIA FALCATA WHOLE
-7991420,WHITE TEA
-7999763,CURCUMA TINCTORIA WHOLE
-7990785,ANETHUM SOWA
-7993870,AKSHOTA WHOLE
-7998027,MENTHA TOMENTOSA WHOLE
-7999885,SEDUM ROBUSTUM WHOLE
-7991689,DISPERMA REPENS WHOLE
-7995924,CAPSELLA LAEVIGATA WHOLE
-7994765,SANGUINARIA CANADENSIS WHOLE
-7997605,BERBERIS PIPERIANA WHOLE
-7991809,PNEUMARIA VIRGINICA WHOLE
-7991631,HOREHOUND
-7992754,VITIS SUBACERIFOLIA WHOLE
-7998586,CENTAURIUM CORYMBOSUM WHOLE
-7995907,CAPSELLA MEDITERRANEA WHOLE
-7993496,DEVIL'S NETTLE WHOLE
-7994749,CORNUS WHOLE
-7993989,NAUCLEA POLYCEPHALA WHOLE
-7992713,CITRUS AURANTIUM L.
-7991710,RHEUM ACUMINATUM WHOLE
-7996618,CRUCIFERA ERUCA WHOLE
-7998920,CHOU CAO
-7991541,CHUI XU SHANG LU
-7994634,LYCOPUS LACERUS WHOLE
-7991901,XIANG FU ZI
-7995161,FROSTED MINT WHOLE
-7992675,CITRUS X MYRTIFOLIA WHOLE
-7999013,HEDGE MUSTARD
-7997082,MELIA PARVIFLORA WHOLE
-7999037,QUASSIA AMARA
-7999337,PSEUDOTSUGA TAXIFOLIA WHOLE
-7991408,NERIUM LATIFOLIUM WHOLE
-7996794,WHITE LILY
-7995022,ULMUS GROSSHEIMII WHOLE
-7993268,FOENICULUM CAPILLACEUM WHOLE
-7997069,GALEGA BILOBA WHOLE
-7992807,COFFEE SENNA
-7990824,VALERIANA JACUTICA WHOLE
-7996352,BOUNCING-BET
-7993282,SAMBUCUS VULGARIS WHOLE
-7997673,CUPID'S SHAVING-BRUSH WHOLE
-7995059,WHITE ATRACTYLODES
-7999728,ANGELICA SINENSIS WHOLE
-7992042,DA MAI
-7995770,GOATHEAD WHOLE
-7993238,LAPPA
-7994020,POLYPORUS MARGINATUS WHOLE
-7990692,PIPSISEWA WHOLE
